City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cabo San Lucas,MX,22.8909,-109.9124,82.51,80,82,7.34,broken clouds
80,Isangel,VU,-19.55,169.2667,76.01,89,7,10.18,clear sky
81,Shamsabad,IN,27.0167,78.1333,88.23,63,100,10.22,overcast clouds
82,Hami,CN,42.8,93.45,84.56,22,2,6.76,clear sky
83,Syracuse,IT,37.0881,15.2792,85.59,57,0,7.0,clear sky
84,Karasjok,NO,69.4719,25.5112,51.13,77,61,11.7,broken clouds
85,Baruun-Urt,MN,46.6806,113.2792,64.56,46,100,9.86,light rain
86,Yerbogachen,RU,61.2767,108.0108,66.22,95,51,7.14,broken clouds
87,Matara,LK,5.9485,80.5353,78.31,86,89,13.91,overcast clouds
88,Vila Velha,BR,-20.3297,-40.2925,78.75,77,20,13.8,few clouds
89,Ostersund,SE,63.1792,14.6357,52.83,66,72,1.81,broken clouds
90,Kodiak,US,57.79,-152.4072,51.31,87,100,8.05,light rain
91,Arraial Do Cabo,BR,-22.9661,-42.0278,72.46,83,2,19.82,clear sky
92,Dingle,PH,10.9995,122.6711,77.31,90,100,0.94,overcast clouds
93,Longyearbyen,SJ,78.2186,15.6401,48.04,93,75,9.22,broken clouds
94,Ust-Tsilma,RU,65.441,52.1498,51.37,79,84,3.11,broken clouds
95,Vaini,TO,-21.2,-175.2,69.96,88,40,10.36,scattered clouds
96,Clyde River,CA,70.4692,-68.5914,45.82,71,100,4.7,overcast clouds
97,Mehamn,NO,71.0357,27.8492,51.75,87,100,16.11,overcast clouds
98,Provideniya,RU,64.3833,-173.3,44.76,81,99,8.61,overcast clouds
99,Yangjiang,CN,21.85,111.9667,80.26,80,8,5.23,clear sky
100,Rawson,AR,-43.3002,-65.1023,40.32,96,100,14.05,light rain
101,Rocky Mountain House,CA,52.3668,-114.9188,71.64,63,10,8.12,clear sky
102,Torbay,CA,47.6666,-52.7314,83.17,69,75,12.66,broken clouds
103,Nikolayevsk-Na-Amure,RU,53.1406,140.73,58.68,79,61,2.15,broken clouds
104,Broome,US,42.2506,-75.833,90.72,32,50,10.16,scattered clouds
105,Belaya Gora,RU,68.5333,146.4167,55.17,52,11,12.21,few clouds
106,Korla,CN,41.7597,86.1469,86.67,17,0,2.06,clear sky
107,Bethel,US,41.3712,-73.414,95.34,47,14,3.0,few clouds
108,East London,ZA,-33.0153,27.9116,57.78,73,79,21.72,light rain
109,Ust-Nera,RU,64.5667,143.2,63.16,85,100,6.44,overcast clouds
110,Hihya,EG,30.6713,31.588,76.44,60,0,5.84,clear sky
111,Christchurch,NZ,-43.5333,172.6333,36.41,100,20,0.0,few clouds
112,Namibe,AO,-15.1961,12.1522,63.91,89,54,1.97,broken clouds
113,Havoysund,NO,70.9963,24.6622,52.03,93,100,20.67,overcast clouds
114,Mahebourg,MU,-20.4081,57.7,70.25,78,40,14.97,scattered clouds
115,Adrar,MR,20.5022,-10.0711,93.51,32,84,15.03,broken clouds
116,Albany,US,42.6001,-73.9662,96.44,37,9,1.01,clear sky
117,Gazanjyk,TM,39.2446,55.5154,81.19,52,8,13.15,clear sky
118,Salinopolis,BR,-0.6136,-47.3561,81.18,80,98,9.91,overcast clouds
119,Severo-Kurilsk,RU,50.6789,156.125,54.66,90,49,1.99,scattered clouds
120,Borba,BR,-4.3878,-59.5939,96.28,29,77,4.05,broken clouds
121,Georgetown,MY,5.4112,100.3354,79.95,94,40,5.99,scattered clouds
122,Upernavik,GL,72.7868,-56.1549,42.98,96,100,4.79,overcast clouds
123,Goderich,CA,43.7501,-81.7165,75.88,75,13,2.89,few clouds
124,Chabahar,IR,25.2919,60.643,83.08,83,53,10.74,broken clouds
125,Lovington,US,32.944,-103.3485,96.04,28,0,3.0,clear sky
126,Chebarkul,RU,54.9749,60.3633,58.66,82,33,4.0,scattered clouds
127,Dikson,RU,73.5069,80.5464,49.87,78,57,10.51,broken clouds
128,Naze,JP,28.3667,129.4833,76.12,75,100,1.39,overcast clouds
129,Meulaboh,ID,4.1363,96.1285,76.53,91,100,5.7,overcast clouds
130,Huarmey,PE,-10.0681,-78.1522,66.33,77,45,7.76,scattered clouds
131,Lebu,CL,-37.6167,-73.65,53.6,90,100,5.75,overcast clouds
132,Tommot,RU,58.9564,126.2925,67.41,93,70,1.52,light rain
133,Desesti,RO,47.7667,23.85,77.88,35,95,3.13,overcast clouds
134,Balyaga,RU,51.1507,108.921,51.33,96,28,0.56,scattered clouds
135,Tshikapa,CD,-6.4167,20.8,83.75,29,84,1.77,broken clouds
136,Jackson,US,42.4165,-122.8345,85.75,22,0,2.51,clear sky
137,Hithadhoo,MV,-0.6,73.0833,81.25,74,100,7.27,overcast clouds
138,Marawi,PH,7.9986,124.2928,69.1,92,100,3.24,light rain
139,Hendersonville,US,36.3048,-86.62,98.28,46,0,3.0,clear sky
